condition,drugName
"Diarrhea, Acute",Atropine / difenoxin
"Diabetes, Type 2",Basaglar
Sedation,Lorazepam Intensol
"Asthma, Maintenance",AirDuo Respiclick
Anxiety,Trifluoperazine
"Ulcerative Colitis, Active",Delzicol
SIADH,Declomycin
Pain,OxyIR
Arrhythmia,Disopyramide
Acute Promyelocytic Leukemia,Vesanoid
"Glaucoma, Open Angle",Timolol
HIV Infection,Nevirapine
Insulin Resistance Syndrome,Fortamet
Endometriosis,Synarel
Premenstrual Syndrome,Acetaminophen / caffeine / pyrilamine
HIV Infection,Enfuvirtide
Iron Deficiency Anemia,Iron sucrose
Dietary Supplementation,TheraTears Nutrition
Pulmonary Hypertension,Bosentan
"COPD, Maintenance",Brovana
Malaria,Pyrimethamine / sulfadoxine
Seizures,Phenytek
Labor Induction,Cervidil
HIV Infection,Lamivudine / zidovudine
Otitis Media,Antipyrine / benzocaine
Computed Tomography,Readi-Cat 2
Psychosis,Fluphenazine
Sinusitis,Loracarbef
,Lescol
acial Wrinkles,Dysport
Osteoarthritis,Daypro
Cutaneous T-cell Lymphoma,Targretin
Hypersomnia,NoDoz
Heart Failure,Accupril
Psychosis,Thiothixene
Vertig,Dramamine II
Psychosis,Navane
Insomnia,Unisom SleepMelts
"von Willebrand's Disease",Humate-P
Expectoration,Mucomyst
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Duet DHA
High Cholesterol,Lovastatin
Insomnia,ZzzQuil
HIV Infection,Viramune
Multiple Sclerosis,Plegridy
"Nausea/Vomiting, Postoperative",Aloxi
Bowel Preparation,PEG-3350 with Electolytes
Cough,TussiCaps
Inflammatory Conditions,Depo-Medrol
"Diabetes, Type 2",Insulin isophane / insulin regular
Sunburn,Solarcaine Burn Relief
Hypertriglyceridemia,Lovaza
Tinea Pedis,Sertaconazole
Pain,Maxidone
Idiopathic Thrombocytopenic Purpura,Eltrombopag
Prostate Cance,Zytiga
Nasal Congestion,Afrin Original
Pain,Sprix
"Lyme Disease, Neurologic",Bicillin L-A
Dermatitis,Locoid Lipocream
Period Pain,Ponstel
Allergic Rhinitis,All Day Allergy
Cutaneous Candidiasis,Nystatin / triamcinolone
Period Pain,Anaprox-DS
HIV Infection,Tivicay
Dry Skin,Nutraplus
Vertig,Dramamine Less Drowsy
Eye Redness,FML Forte Liquifilm
"Diarrhea, Chronic",Motofen
"Sexual Dysfunction, SSRI Induced",Dextrostat
Anemia,Oxymetholone
Osteoarthritis,Limbrel 500
"Diabetes, Type 2",Insulin lispro / insulin lispro protamine
Chronic Pancreatitis,Zenpep
Chronic Myelogenous Leukemia,Bosulif
"Raynaud's Syndrome",Felodipine
HIV Infection,Kaletra
Headache,Excedrin PM
Constipation,Fleet Glycerin Suppositories Adult
Schizophrenia,Molindone
Dry Skin,Aveeno
"Diabetes, Type 1",Insulin aspart / insulin aspart protamine
"Diabetes, Type 2",Xigduo XR
Clostridial Infection,Dificid
Upper Respiratory Tract Infection,Cefzil
Pulmonary Hypertension,Tracleer
Human Papilloma Virus,Podophyllum resin
Parkinsonism,Procyclidine
Lichen Sclerosus,Synalar
Birth Control,Ortho-Cept
Dry Skin,Blistex Lip Balm
HIV Infection,Cobicistat / darunavir
Vitamin/Mineral Supplementation and Deficiency,Zinc sulfate
"Asthma, acute",Xopenex HFA
GERD,Pepcid
"Breast Cancer, Metastatic",Taxol
Postural Orthostatic Tachycardia Syndrome,Florinef
Bladder Infection,Monurol
Erectile Dysfunction,Damiana
Idiopathic Thrombocytopenic Purpura,Neoral
Urinary Tract Infection,Ofloxacin
min),Dapagliflozin / metformin
Dermatological Disorders,Pramosone
"Diabetes, Type 2",Synjardy
Iron Deficiency Anemia,ProFe
Nausea/Vomiting,Compro
Pain,Ultracet
High Blood Pressure,Perindopril
"Hypogonadism, Male",Aveed
Multiple Sclerosis,Rebif Rebidose
Otitis Media,Hydrocortisone / neomycin / polymyxin b
High Blood Pressure,Twynsta
Birth Control,Junel Fe 24
Pain,Primlev
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Tandem DHA
Edema,Amiloride
Birth Control,Loestrin 21 1.5 / 30
,Spectracef
,Uroqid-Acid No2
Diarrhea,Lonox
Edema,Metolazone
Anxiety,Amitriptyline / perphenazine
High Blood Pressure,Plendil
"Herpes Zoster, Prophylaxis",Zoster vaccine live
"Diabetes, Type 2",Glucovance
Nasal Congestion,Acrivastine / pseudoephedrine
Nocturnal Leg Cramps,Qualaquin
Xerostomia,Pilocarpine
Sinus Symptoms,Chlorpheniramine / methscopolamine / pseudoephedrine
Nausea/Vomiting,Droperidol
Melanoma,Interferon alfa-2b
Migraine,Alsuma
Thrombocytopenia,Promacta
Osteoporosis,Miacalcin
Skin and Structure Infection,Cefditoren
Hyperthyroidism,Tapazole
Vitamin/Mineral Supplementation during Pregnancy/Lactation,CitraNatal Assure
Diabetic Kidney Disease,Vasotec
Seborrheic Dermatitis,Nizoral Topical
Eczema,Halog
Anemia,Epogen
Bleeding Disorde,Cyklokapron
Allergies,Triprolidine
Acne,Acticlate
Head Lice,Piperonyl butoxide / pyrethrins
Birth Control,Amethia
Multiple Sclerosis,H.P. Acthar Gel
Allergic Rhinitis,QNASL
Diagnosis and Investigation,Methacholine
Birth Control,depo-subQ provera 104
Migraine,Cafergot
Iron Deficiency Anemia,Ferrous fumarate
High Blood Pressure,Normodyne
Vitamin B12 Deficiency,CaloMist
Rheumatoid Arthritis,Ridaura
Dietary Supplementation,Liquid Co-Q10
Urinary Tract Infection,Lithostat
Allergic Rhinitis,Diphenhydramine / pseudoephedrine
,Acetaminophen / dexbrompheniramine / pseudoephedrine
"Hypogonadism, Male",Depo-Testosterone
Prostate Cance,Trelstar
Multiple Myeloma,Bortezomib
Bowel Preparation,HalfLytely and Bisacodyl
Birth Control,Ethinyl estradiol / folic acid / levonorgestrel
Pulmonary Hypertension,Remodulin
"Conjunctivitis, Allergic",Epinastine
Multiple Sclerosis,Betaseron
Prostate Cance,Triptorelin
Supraventricular Tachycardia,Corgard
Bronchitis,Suprax
Cough and Nasal Congestion,Brompheniramine / codeine / phenylephrine
Iron Deficiency Anemia,Ferumoxytol
Asthma,Mepolizumab
Reflex Sympathetic Dystrophy Syndrome,Aventyl Hydrochloride
High Blood Pressure,Amlodipine / telmisartan
Nasal Congestion,Claritin-D 12 Hour
Bacterial Infection,Lincomycin
Cold Symptoms,Actifed
Cold Symptoms,Primatene
,"Rogaine Men's Extra Strength"
Gas,Gelusil
Anemia,Maxaron Forte
Keratosis,Picato
Brain Tum,Platinol
Breast Cance,Nolvadex
Pulmonary Hypertension,Epoprostenol
Overactive Bladde,Flavoxate
Hyperphosphatemia of Renal Failure,Velphoro
Postmenopausal Symptoms,Elestrin
Overactive Bladde,Anturol
Psoriasis,Psoriasin
Birth Control,Gildess 1.5 / 30
Anemia,Ferralet 90
Diarrhea,Imotil
"Wilson's Disease",Penicillamine
High Blood Pressure,Captopril
"Hypogonadism, Male",Gonal-f
Multiple Sclerosis,Glatopa
Seizures,Zarontin
Dietary Supplementation,Medium chain triglycerides
,Dantrolene
Anesthesia,Thiopental
Pain,Oxyfast
"Glaucoma, Open Angle",Dorzolamide
Colorectal Cance,Irinotecan
"Conjunctivitis, Bacterial",Loteprednol / tobramycin
Constipation,Citrate of Magnesia
GERD,Nexium IV
Cold Symptoms,Codimal DM
Diabetes Insipidus,DDAVP Nasal
Deep Vein Thrombosis,Tinzaparin
"Conjunctivitis, Allergic",Nedocromil
Nasal Congestion,Norel SR
Restless Legs Syndrome,Levodopa
"Constipation, Acute",Senokot S
"Melanoma, Metastatic",Vemurafenib
Migraine,Ergomar
Vaginal Yeast Infection,Terazol
Pain,Excedrin Back & Body
Hypoestrogenism,Cenestin
"Asthma, Maintenance",Flovent
ibromyalgia,Nabilone
Dermatitis,Ala-Quin
,Acetaminophen / dextromethorphan / doxylamine
Body Imaging,Omnipaque 350
Premature Lab,Brethine
Vertig,Vontrol
Seasonal Allergic Conjunctivitis,Pazeo
Heart Failure,Ivabradine
Pain,Midol PM
Urinary Tract Infection,Sulfatrim
"Conjunctivitis, Bacterial",Neo-Poly-Dex
Cance,Vincristine
Dietary Supplementation,Phillips Colon Health
Depression,Budeprion SR
actor IX Deficiency,BeneFix
Schizophrenia,Moban
Cough,Mucinex DM
Smoking Cessation,Buproban
High Blood Pressure,Amlodipine / atorvastatin
Psoriasis,Anucort-HC
Depression,Sinequan
Lichen Sclerosus,Cutivate
Constipation,Colace
Diarrhea,Saccharomyces boulardii lyo
"Diabetes, Type 1",Humulin R U-500 (Concentrated)
Seborrheic Dermatitis,DermaZinc Shampoo
HIV Infection,Epzicom
Vitamin/Mineral Supplementation and Deficiency,Proferrin-ES
Birth Control,Lillow
Allergic Rhinitis,Beconase AQ
"Raynaud's Syndrome",Nitro-Bid
Indigestion,Magaldrate / simethicone
"Asthma, Maintenance",Metaproterenol
Birth Control,Philith
"Asthma, Maintenance",Pulmicort Turbuhaler
Anesthesia,LMX 4
Migraine,"Goody's Headache Powders"
Cold Symptoms,Vicks QlearQuil Nighttime Allergy Relief
Eye Redness,Visine Original
Herpes Simplex,Blistex
Osteoporosis,Evista
Influenza,Zanamivir
"Conjunctivitis, Bacterial",Polytrim
Iron Deficiency Anemia,Niferex
Asthma,Cinqair
Ear Wax Impaction,Carbamide peroxide
Nasal Congestion,Sudafed 24-Hour
Gout,Aloprim
Muscle Spasm,Parafon Forte DSC
Depression,Norpramin
"Constipation, Acute",Senna Plus
High Blood Pressure,Corzide 80 / 5
t Care,Salicylic acid / urea
Hepatic Encephalopathy,Enulose
Chronic Lymphocytic Leukemia,Leukeran
Cervical Dystonia,IncobotulinumtoxinA
Breakthrough Pain,Lazanda
"Diabetes, Type 1",NovoLog Mix 70 / 30
"Meningitis, Meningococcal",Meningococcal group B vaccine
Nasal Congestion,Ayr Saline Nasal
Hyperphosphatemia of Renal Failure,Renagel
Sinus Symptoms,Aleve-D Sinus & Cold
Dermatological Disorders,Bensal HP
Migraine,Ergotamine
Chronic Lymphocytic Leukemia,Fludara
Oral Thrush,Mycelex Troche
Allergic Rhinitis,Rhinocort
Allergic Rhinitis,Zyrtec-D 12 Hour
Cold Symptoms,Acetaminophen / diphenhydramine / phenylephrine
Birth Control,Briellyn
Cough,Vicks Formula 44
Rabies Prophylaxis,"Rabies vaccine, human diploid cell"
Pain,Feverall
Major Depressive Disorde,Prozac Weekly
Ovarian Cance,Carboplatin
GERD,Calcium carbonate / simethicone
Labor Pain,Ropivacaine
Asthma,Nucala
Non-Small Cell Lung Cance,Afatinib
Dietary Supplementation,Schiff Move Free
Skin and Structure Infection,Goldenseal
t Care,Salvax Duo
Cold Sores,Tetracaine
Acne,Myorisan
Cough,Guaifenesin / hydrocodone
Eczema,Dexpak Taperpak
Postural Orthostatic Tachycardia Syndrome,Florinef Acetate
Dietary Supplementation,Dehydroepiandrosterone
Muscle Pain,KneeRelief
Benign Prostatic Hyperplasia,Proscar
Precocious Puberty,Supprelin LA
Gouty Arthritis,Probenecid and Colchicine
Head Lice,Benzyl alcohol
"Asthma, Maintenance",Theo-24
Bronchitis,Ceftibuten
High Blood Pressure,Tenoretic 50
"Diabetes, Type 2",Glipizide / metformin
Prevention of Bladder infection,Mandelamine
Edema,Bumetanide
Vaginal Yeast Infection,Nizoral
High Blood Pressure,Aliskiren / hydrochlorothiazide
Allergic Rhinitis,Claritin-D 24 Hour
Urinary Tract Infection,Phosphasal
,Dantrium
Birth Control,Zovia 1 / 35
Hemophilia A,Nuwiq
Pain,Fast Freeze
Ascariasis,Mebendazole
Hypoparathyroidism,Parathyroid hormone
Insomnia,Seconal Sodium
High Blood Pressure,Moexipril
Birth Control,Tri-Lo-Estarylla
Xerostomia,Salivart
High Blood Pressure,Methyldopa
Brain Tum,Cisplatin
Prostate Cance,Trelstar LA
Dry Eye Disease,Refresh Liquigel
Allergic Rhinitis,Palgic
Rheumatoid Arthritis,Absorbine Jr.
Postoperative Ocular Inflammation,Prolensa
Postmenopausal Symptoms,Premphase
Abnormal Uterine Bleeding,Tri-Lo-Marzia
Gout,Zurampic
Insomnia,Seconal
Urinary Tract Infection,Azo-Cranberry
Obsessive Compulsive Disorde,Rilutek
"Crohn's Disease",Azasan
Multiple Sclerosis,Peginterferon beta-1a
Dietary Supplementation,"Hair, Skin & Nails"
Porphyria,Panhematin
Muscle Pain,Lidocaine / menthol
High Cholesterol,Slo-Niacin
Cough,Promethazine DM
Primary Immunodeficiency Syndrome,Immune globulin intravenous and subcutaneous
Cold Symptoms,Bronkaid
Erectile Dysfunction,Caverject
Constipation,Enemeez Mini
"Glaucoma, Open Angle",Brinzolamide
,Chlorpheniramine / dextromethorphan
Abortion,Cytotec
Campylobacter Gastroenteritis,Floxin
Eczema,Halcinonide
HIV Infection,Selzentry
Postmenopausal Symptoms,Minivelle
Asthma,Aristocort
Bacterial Skin Infection,Bacitracin / neomycin / polymyxin b
Vitamin D Deficiency,Vitamin D3
"Melanoma, Metastatic",Mekinist
Narcolepsy,Ephedrine
Prostate Cance,Provenge
Hyperphosphatemia,Calcium acetate
Skin or Soft Tissue Infection,Cefotaxime
Non-Small Cell Lung Cance,Pemetrexed
Bowel Preparation,NuLYTELY
Head Lice,Malathion
Allergic Rhinitis,"Children's Claritin Allergy"
Wound Cleansing,Acetic acid
Ovarian Cance,Paraplatin
Euvolemic Hyponatremia,Vaprisol
Cold Symptoms,Robitussin Cold Cough and Flu
"Asthma, Maintenance",Arnuity Ellipta
Weight Loss,Phentride
Malaria,Artemether / lumefantrine
"Nausea/Vomiting, Chemotherapy Induced",Rolapitant
Pruritus,Calamine
"Breast Cancer, Metastatic",Gemcitabine
Interstitial Cystitis,Azo Urinary Pain Relief
Tinea Cruris,Tolnaftate
Herpes Simplex Dendritic Keratitis,Ganciclovir
High Blood Pressure,Tarka
Gout,Lesinurad
,Fleet Bisacodyl
High Blood Pressure,Exforge HCT
"Asthma, Maintenance",Zafirlukast
Neutropenia Associated with Chemotherapy,Filgrastim
Warts,Salicylic acid
High Blood Pressure,Bendroflumethiazide / nadolol
Birth Control,Jencycla
"Breast Cancer, Metastatic",Faslodex
Anxiety,Micrainin
Headache,Epidrin
Urinary Incontinence,Cranberry
"Addison's Disease",Hydrocortone
Bacterial Skin Infection,Bacitracin / polymyxin b
HIV Infection,Emtricitabine / rilpivirine / tenofovir alafenamide
Renal Cell Carcinoma,Torisel
Benign Prostatic Hyperplasia,Saw palmetto
Atrial Fibrillation,Cardizem CD
Allergic Rhinitis,Diphenhydramine / phenylephrine
ibromyalgia,Cesamet
Gas,Citric acid / simethicone / sodium bicarbonate
Bacterial Skin Infection,Triple Antibiotic
Hyperphosphatemia of Renal Failure,Lanthanum carbonate
"COPD, Maintenance",Atrovent HFA
Eczema,Halog-E
Allergic Rhinitis,Rhinocort Aqua
Pneumococcal Disease Prophylaxis,Pneumococcal 23-polyvalent vaccine
Headache,Dong quai
"Diabetes, Type 2",Glucophage XR
Chronic Pain,Infumorph
Anxiety,Alprazolam Intensol
Acne,Sumadan
Smoking Cessation,Nicotrol NS
Bacterial Infection,Chloramphenicol
Pain,Vitapap
Acne,Altabax
"Parkinson's Disease",Azilect
Dry Eye Disease,GenTeal
Mumps Prophylaxis,Mumps virus vaccine
Prostate Cance,Enzalutamide
Obesity,Phendiet
Dietary Supplementation,Cosamin DS
"Diabetes, Type 2",Nesina
"Raynaud's Syndrome",Isradipine
HIV Infection,Epivir
Not Listed / Othe,Indapamide
Bone infection,Dicloxacillin
"Diabetes, Type 2",Toujeo Solostar
Rhinitis,Flonase Allergy Relief
Dry Skin,Lanolin
Insomnia,Nytol
SIADH,Demeclocycline
"Constipation, Acute",Peri-Colace
"Conjunctivitis, Allergic",Alamast
Pulmonary Hypertension,Adcirca
Dysuria,Uristat
Meningitis,Vancocin
Postmenopausal Symptoms,Menest
Nasal Congestion,Mucinex Sinus-Max Full Force
"Diabetes, Type 2",Glumetza
Osteoarthritis,Hyalgan
Oral Thrush,Nilstat
Actinic Keratosis,Tolak
Non-Small Cell Lung Cance,Alimta
Euvolemic Hyponatremia,Conivaptan
Urinary Tract Stones,Cytra-K
Chronic Lymphocytic Leukemia,Chlorambucil
High Blood Pressure,Inspra
Porphyria,Hemin
Edema,Zaroxolyn
Hypoactive Sexual Desire Disorde,Flibanserin
Dermatological Disorders,Melpaque HP
Underactive Thyroid,Westhroid
Rosacea,MetroCream
Dermatomyositis,Cortisone
HIV Infection,Reyataz
Migraine,Zecuity
"Hypogonadism, Male",Delatestryl
Bowel Preparation,Bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride
Iron Deficiency Anemia,Ferrous gluconate
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Provida DHA
"Hypogonadism, Male",Striant
Percutaneous Coronary Intervention,Bivalirudin
Peripheral Neuropathy,Qutenza
Hepatitis B Prevention,Hepatitis b adult vaccine
Gout,Benemid
CNS Magnetic Resonance Imaging,Gadobutrol
Skin or Soft Tissue Infection,Meropenem
Smoking Cessation,Leader Nicotine Polacrilex
Pain,Exparel
Transient Ischemic Attack,"Bayer Children's Aspirin"
COPD,Incruse Ellipta
"Hypogonadism, Male",Methyltestosterone
Multiple Sclerosis,Mitoxantrone
Lipodystrophy,Tesamorelin
Vaginal Yeast Infection,Micon 7
Gouty Arthritis,Sulfinpyrazone
"Conjunctivitis, Bacterial",Tobrex
Gaucher Disease,Imiglucerase
Psoriasis,Alclometasone
Cerebrovascular Insufficiency,Isoxsuprine
Skin and Structure Infection,Cubicin
Nasal Congestion,Nexafed Nasal Decongestant
Bacterial Vaginitis,Nuvessa
"Organ Transplant, Rejection Prophylaxis",Hecoria
Cluster Headaches,D.H.E. 45
Anti NMDA Receptor Encephalitis,Immune globulin intravenous
Iron Deficiency Anemia,Iron polysaccharide
Insomnia,Doral
"Gout, Acute",Medrol
Postmenopausal Symptoms,Divigel
Rheumatoid Arthritis,IBU
"Conjunctivitis, Bacterial",Moxeza
Sinus Symptoms,Aspirin / chlorpheniramine / phenylephrine
Hyperphosphatemia of Renal Failure,Auryxia
Migraine,Sansert
Rheumatoid Arthritis,Otrexup
Angina,Isosorbide dinitrate
Cluster Headaches,Sterapred DS
Anemia,Integra F
Depression,Vivactil
Peripheral Neuropathy,L-Carnitine
"Glaucoma, Open Angle",Trusopt
Postural Orthostatic Tachycardia Syndrome,Orvaten
Herbal Supplementation,Ginseng
Vitamin/Mineral Supplementation and Deficiency,EnLyte
Hemorrhoids,Proctofoam HC
Constipation,Ex-Lax Maximum Relief Formula
Iron Deficiency Anemia,Tandem
Adult Human Growth Hormone Deficiency,Norditropin
,Fragmin
Allergic Rhinitis,Wal-finate
Vitamin D Deficiency,D3
Pain,Doans Pills Extra Strength
Autoimmune Hepatitis,Purinethol
Eczema,DesOwen
Indigestion,Tums Smoothies
Weight Loss,Phentercot
Asthma,Ipratropium Inhalation Solution
Constipation,Senna Lax
Nasal Congestion,Afrin 4 Hour Extra Moisturizing
Nasal Congestion,Afrin NoDrip Sinus
Pruritus,Skeeter Stik
Body Imaging,Iohexol
High Blood Pressure,Aldactazide
Not Listed / Othe,Atropine
Postoperative Ocular Inflammation,Nevanac
Bacterial Vaginitis,Clindamax
Iron Deficiency Anemia,Feraheme
Dermatological Disorders,Melquin HP
Sinus Symptoms,VisRx Dose Pack
"Paragonimus westermani, Lung Fluke",Praziquantel
Sedation,Desyrel Dividose
"COPD, Maintenance",Atrovent
Bladder Infection,Norfloxacin
Allergic Rhinitis,Nasarel
Cough and Nasal Congestion,M-End PE
"Asthma, Maintenance",Maxair
Alpha-1 Proteinase Inhibitor Deficiency,Alpha 1-proteinase inhibitor
Acne,Absorica
Hyperthyroidism,Potassium iodide
Urinary Tract Infection,Uta
Herbal Supplementation,Creatine
Emergency Contraception,Take Action
Cold Symptoms,Ed A-Hist
"Parkinson's Disease",Mirapex ER
Depression,Protriptyline
Headache,Excedrin Tension Headache
"Crohn's Disease",Questran Light
Rheumatoid Arthritis,Ansaid
Endometriosis,Danocrine
Primary Immunodeficiency Syndrome,Octagam
Nasal Congestion,Vicks Sinex 12-Hour Decongestant Nasal Spray
Premenstrual Syndrome,Acetaminophen / pamabrom / pyrilamine
Aphthous Ulce,Orajel
Ovarian Cance,Altretamine
Colorectal Cance,Vectibix
Vaginal Yeast Infection,Pedi-Dri
Psoriasis,Topicort LP
Menstrual Disorders,Dasetta 7 / 7 / 7
Hyperkalemia,Kionex
Motion Sickness,Travel-Eze
Schizophrenia,Loxapine
Bacterial Infection,Lincocin
Seborrheic Dermatitis,Avar LS Cleanser
"Breast Cancer, Metastatic",Fulvestrant
Atopic Dermatitis,Diprolene AF
Niacin Deficiency,Niacinamide
"Onychomycosis, Toenail",Ciclodan
GERD,Zegerid OTC
Cutaneous T-cell Lymphoma,Bexarotene
Cough and Nasal Congestion,Mucinex Fast-Max Severe Congestion & Cough
Computed Tomography,Readi-Cat
Multiple Sclerosis,Interferon beta-1b
Obesity,Tenuate Dospan
Atrial Flutte,Betapace AF
Edema,Diurex Water Capsules
"Dupuytren's contracture",Xiaflex
Gestational Diabetes,Insulin isophane
Psoriasis,Alefacept
Influenza Prophylaxis,FluMist Quadrivalent
Postmenopausal Symptoms,Vivelle
Lennox-Gastaut Syndrome,Banzel
Birth Control,Introvale
Cold Sores,Acyclovir / hydrocortisone
Bacterial Skin Infection,Co-trimoxazole
"Parkinson's Disease",Kemadrin
Diarrhea,Attapulgite
Dietary Fiber Supplementation,Inulin
Diaper Rash,Menthol / zinc oxide
Seizures,Luminal
Primary Immunodeficiency Syndrome,Privigen
Schnitzler Syndrome,Kineret
"Diabetes, Type 2",NovoLog FlexPen
,"Lotrimin AF Athlete's Foot Powder"
Insomnia,Vanatrip
Hypoparathyroidism,Natpara
Arrhythmia,Mexitil
Irritable Bowel Syndrome,HyoMax
Herbal Supplementation,Bee pollen
Hepatitis C,Glecaprevir / pibrentasvir
"Burns, External",RadiaPlexRx
Local Anesthesia,Marcaine
Postmenopausal Symptoms,Femtrace
,Flunisolide
"Glaucoma, Open Angle",Brimonidine / brinzolamide
Allergic Rhinitis,Zyrtec-D
"Organ Transplant, Rejection Prophylaxis",Gengraf
Precocious Puberty,Histrelin
High Blood Pressure,Acebutolol
Hepatitis C,Mavyret
Chronic Pancreatitis,Pancreaze
Computed Tomography,Smoothie Readi-Cat 2
Acne,Hexachlorophene
Ovarian Cance,Paclitaxel
Atopic Dermatitis,Olux-E
Chronic Myelogenous Leukemia,Ponatinib
Acne,Oxy-10
Birth Control,Norlyda
Herbal Supplementation,Guarana
Pruritus,Eurax
Meningococcal Meningitis Prophylaxis,Menactra
Birth Control,Rajani
Birth Control,Caziant
Intermittent Claudication,Pletal
Cough,Mucinex Maximum Strength
Pain,Talacen
Heart Failure,BiDil
Vaginal Yeast Infection,Terazol 7
Dry Skin,Cetaphil Lotion
Gout,Probenecid
Mild Cognitive Impairment,Aricept ODT
"Constipation, Acute",Doc-Q-Lax
"Hypogonadism, Male",Follicle stimulating hormone
"Glaucoma, Open Angle",Cosopt
Osteoporosis,Atelvia
Chronic Pain,Dazidox
Tardive Dyskinesia,Aquavite-E
Psoriasis,Embeline
Alpha-1 Proteinase Inhibitor Deficiency,Prolastin-C
min),Alogliptin / metformin
Ulcerative Colitis,Azulfidine
Insomnia,Sleep Aid
Primary Immunodeficiency Syndrome,Cuvitru
Dietary Supplementation,Vitamin C
Hemophilia B,Alphanine SD
Thrombocythemia,Busulfan
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Vitafol Ultra
Bone infection,Unasyn
Pain,Lagesic
Cold Symptoms,Cheratussin DAC
Urinary Tract Infection,Ampicillin / sulbactam
actor IX Deficiency,Coagulation factor ix
Acne,Avar
Dermatitis,Clioquinol / hydrocortisone
Pain,Lorcet
Sinusitis,Lorabid
Acne,Fostex Medicated
Postmenopausal Symptoms,Estrasorb
"Raynaud's Syndrome",Nisoldipine
Edema,Ethacrynic acid
Dry Skin,Bag Balm
Ovarian Cance,Hexalen
Acne,BenzEFoam
Tinea Versicol,Selsun Blue
Colorectal Cance,Camptosar
Hyperphosphatemia of Renal Failure,Sucroferric oxyhydroxide
Osteoporosis,Fortical
Dietary Supplementation,Cerefolin NAC
Irritable Bowel Syndrome,Hyosyne
Dry Skin,Lactic acid
GERD,Nexium 24HR
"Diabetes, Type 2",Humalog Mix 75 / 25
Sinusitis,Dexchlorpheniramine / dextromethorphan / pseudoephedrine
,Fleet Phospho Soda
Multiple Myeloma,Pomalidomide
Insomnia,Headache Relief PM
Malaria Prevention,Pyrimethamine
High Blood Pressure,Univasc
Uveitis,Ozurdex
Dietary Supplementation,Zinc gluconate
Rhinitis,Chlorcyclizine / phenylephrine
Pain,Tylenol Arthritis Pain
Schizophrenia,Thioridazine
"Asthma, Maintenance",Pulmicort Respules
Hyperthyroidism,Pima
Non-Small Cell Lung Cance,Necitumumab
Acne,PanOxyl 10% Acne Foaming Wash
"Diabetes, Type 2",Novolin N
Pinworm Infection (Enterobius vermicularis),"Reese's Pinworm Medicine"
Insomnia,Valerian
,Polysporin First Aid Antibiotic Ointment
Dermatological Disorders,Diprosone
Osteoarthritis,Chondroitin / glucosamine / methylsulfonylmethane
"Parkinson's Disease",Apokyn
Intermittent Claudication,Trental
Bone infection,Vancocin HCl
Allergies,Hyzine
Postmenopausal Symptoms,Activella
Nausea/Vomiting,Pyridoxine
"Melanoma, Metastatic",Dabrafenib
Bacterial Skin Infection,Benzalkonium chloride / lidocaine
Anxiety,Zetran
,Dalteparin
"Diabetes, Type 2",Glyset
Adrenocortical Insufficiency,Cortef
Hairy Cell Leukemia,Leustatin
Testicular Cance,Ifosfamide
Tinea Pedis,Zeasorb-AF Drying Gel
Acne,BP Wash
Malaria,Fansidar
Allergic Rhinitis,Allegra ODT
Cluster Headaches,Verelan PM
Back Pain,Acetaminophen / aspirin
High Blood Pressure,Labetalol
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Vitafol-OB+DHA
Peripheral T-cell Lymphoma,Romidepsin
Irritable Bowel Syndrome,Belladonna
Multiple Myeloma,Velcade
,Methenamine / sodium acid phosphate
Osteoarthritis,Capzasin-P
Atrial Fibrillation,Lanoxicaps
Pain,Percodan
Bacterial Skin Infection,Bacitracin
Hemorrhoids,LMX 5
Sinus Symptoms,Sudafed PE Pressure + Pain
Hemorrhoids,Anusol-HC Suppositories
Dietary Supplementation,CoQ10
Gastrointestinal Stromal Tum,Regorafenib
acial Wrinkles,Juvederm Voluma XC
Agitation,Zyprexa Intramuscular
"Melanoma, Metastatic",Trametinib
Thrombocythemia,Hydrea
Pupillary Dilation,Tropicamide
Macular Degeneration,Macugen
Hepatic Encephalopathy,Generlac
Cough and Nasal Congestion,Vanatab DX
Testicular Cance,Ifex
,Magnesium sulfate
Acne,Resorcinol / sulfur
Gingivitis,Periogard
Osteoarthritis,Zostrix
Headache,Phrenilin
moterol),Arformoterol
Sinus Symptoms,Vicks Dayquil Cold & Flu Relief
Cance,Vincasar PFS
Sinusitis,Phenylephrine / pyrilamine
Skin Cance,Fluoroplex
Herbal Supplementation,Slippery elm
Hyperparathyroidism Secondary to Renal Impairment,Rayaldee
Vitamin/Mineral Supplementation during Pregnancy/Lactation,OB Complete Gold
"Nausea/Vomiting, Chemotherapy Induced",Varubi
Head Lice,RID
Allergic Rhinitis,Benadryl Allergy Sinus
Thyroid Cance,Cometriq
Renal Cell Carcinoma,Temsirolimus
Hypoglycemia,Proglycem
"Constipation, Acute",Doculax
"Parkinson's Disease",Apomorphine
Seizures,Diastat AcuDial
Sinus Symptoms,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets
Pain,Trixaicin HP
Arrhythmia,Norpace
Headache,Advil Migraine
